PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1626145,Tyus Jones,Tyus,1610612756,PHX,29.0,81,36,45,0.444,26.8,3.8,8.4,0.448,2.0,5.0,0.414,0.6,0.7,0.895,0.5,1.9,2.4,5.3,1.1,0.9,0.1,0.3,0.8,0.9,10.2,-1.1,22.8,6,0,21.9,22,137,40,951,462,566,555,725,239,348,218,997,1121,180,1121,1021,1068,113,775,600,1249,919,1372,1040,574,927,557,154,77,555,1
1642279,Ulrich Chomche,Ulrich,1610612761,TOR,19.0,12,5,7,0.417,10.7,0.9,1.9,0.478,0.1,0.2,0.5,0.4,0.9,0.455,1.1,1.8,2.9,0.8,1.1,0.1,0.7,0.1,2.4,0.7,2.3,-4.3,8.1,0,0,7.6,997,1010,904,1010,1309,1393,1442,510,1301,1415,54,1186,990,1381,534,1036,929,1210,791,1431,335,1335,316,1193,1407,1338,1304,653,77,1323,1
203995,Vasilije Micic,Vasilije,1610612756,PHX,31.0,41,8,33,0.195,19.1,2.3,6.7,0.348,1.1,3.0,0.36,0.8,1.0,0.829,0.5,1.7,2.2,3.1,1.9,0.4,0.0,0.6,1.1,1.2,6.6,-3.0,13.1,1,0,13.7,344,856,136,1423,836,941,760,1327,621,694,536,832,893,379,1122,1093,1125,349,359,1179,1346,501,1196,874,911,1187,1009,423,77,952,2
1641705,Victor Wembanyama,Victor,1610612759,SAS,21.0,46,21,25,0.457,33.2,8.9,18.6,0.476,3.1,8.8,0.352,3.4,4.1,0.836,1.8,9.2,11.0,3.7,3.2,1.1,3.8,0.6,2.3,4.9,24.3,2.2,54.6,28,1,51.9,311,326,276,922,142,44,35,532,61,40,605,93,111,350,241,14,23,267,53,322,4,477,388,50,46,366,8,22,29,9,1
1641921,Vin Baker Jr.,Vin,1610612749,MIL,26.0,4,0,4,0.0,8.6,0.8,1.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.8,0.5,1.3,0.3,1.3,0.0,1.3,0.0,3.0,0.5,1.5,-4.5,5.9,0,0,5.5,1288,1471,1053,1471,1408,1424,1476,348,1337,1471,1337,1437,1261,1437,805,1476,1384,1456,685,1440,111,1370,85,1296,1476,1357,1419,653,77,1433,1
1631246,Vince Williams Jr.,Vince,1610612763,MEM,24.0,27,10,17,0.37,18.5,2.5,6.2,0.401,1.0,3.5,0.274,0.7,0.9,0.792,0.8,2.8,3.6,2.0,1.2,0.4,0.3,0.3,1.7,1.3,6.6,0.2,14.9,1,0,14.7,678,750,480,1147,882,890,820,1113,740,581,1052,941,1006,553,766,674,713,595,709,1100,914,1022,812,817,904,656,927,423,77,900,1
1641941,Vincent Valerio-Bodon,Vincent,1610612747,LAL,24.0,4,2,2,0.5,13.5,1.3,4.3,0.294,0.8,2.5,0.3,1.3,1.5,0.833,1.3,2.8,4.0,1.3,0.8,0.8,0.5,1.0,1.0,1.3,4.5,-1.8,14.2,0,0,13.0,1288,1199,1251,722,1128,1272,1086,1450,832,813,934,572,667,353,443,696,585,945,1065,713,476,119,1224,818,1135,1034,956,653,77,982,1
1628427,Vlatko Čančar,Vlatko,1610612743,DEN,28.0,13,2,11,0.154,10.4,0.8,2.0,0.385,0.3,1.2,0.267,0.0,0.0,0.0,0.5,2.0,2.5,0.7,0.8,0.2,0.2,0.2,0.8,0.3,1.8,-1.4,6.1,0,0,6.1,971,1199,738,1446,1322,1422,1419,1218,1159,1142,1068,1437,1453,1437,1139,949,1060,1235,997,1327,1152,1228,1376,1441,1453,972,1405,653,77,1401,1
1630249,Vít Krejčí,Vít,1610612737,ATL,25.0,57,28,29,0.491,20.2,2.5,5.1,0.497,1.6,3.6,0.437,0.6,0.8,0.711,0.4,2.4,2.7,2.6,0.9,0.6,0.5,0.1,1.8,0.7,7.2,-1.2,16.8,1,0,16.3,237,239,201,847,781,866,954,412,411,568,152,1053,1067,915,1212,845,973,448,971,855,577,1257,688,1173,831,932,828,423,77,818,1
1631117,Walker Kessler,Walker,1610612762,UTA,23.0,60,16,44,0.267,30.1,4.7,7.2,0.657,0.1,0.6,0.176,1.4,2.7,0.519,4.6,7.5,12.1,1.7,1.5,0.7,2.4,0.7,2.2,2.3,10.9,-5.3,35.8,28,0,31.0,216,505,43,1318,311,416,694,54,1287,1304,1272,521,286,1289,9,29,13,725,536,802,17,363,416,434,532,1429,162,22,77,254,1
